nn,nn_params,word_embeddings_params,accuracy,f1_macro,f1_weighted,Heavy Metal_precision,Heavy Metal_recall,Heavy Metal_f1_score,Heavy Metal_samples,Punk Rock_precision,Punk Rock_recall,Punk Rock_f1_score,Punk Rock_samples,Soft Rock_precision,Soft Rock_recall,Soft Rock_f1_score,Soft Rock_samples,total_samples
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_fasttext_5_5_100d,0.45,0.33,0.42,0.51,0.6,0.55,1911,0.37,0.41,0.39,1409,0.19,0.03,0.06,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_rock_fasttext_50_5_100d,0.47,0.32,0.42,0.5,0.71,0.59,1911,0.39,0.33,0.36,1409,0.15,0.01,0.02,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=10,custom_rock_sg_50_10_300d,0.46,0.33,0.42,0.52,0.59,0.55,1911,0.38,0.46,0.42,1409,0.2,0.01,0.02,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_rock_fasttext_50_10_300d,0.46,0.33,0.42,0.51,0.72,0.6,1911,0.4,0.28,0.33,1409,0.13,0.05,0.07,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_rock_sg_5_5_300d,0.44,0.33,0.41,0.49,0.59,0.54,1911,0.4,0.41,0.4,1409,0.11,0.03,0.05,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_cbow_50_5_300d,0.5,0.3,0.41,0.51,0.88,0.65,1911,0.42,0.18,0.25,1409,0.0,0.0,0.0,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_fasttext_50_5_300d,0.43,0.33,0.41,0.53,0.47,0.5,1911,0.38,0.55,0.45,1409,0.14,0.04,0.06,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_fasttext_50_10_300d,0.44,0.32,0.41,0.5,0.58,0.54,1911,0.37,0.42,0.4,1409,0.09,0.01,0.02,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_rock_fasttext_5_5_300d,0.44,0.32,0.41,0.49,0.56,0.52,1911,0.39,0.47,0.42,1409,0.0,0.0,0.0,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=100,custom_rock_fasttext_5_5_100d,0.45,0.32,0.41,0.5,0.69,0.58,1911,0.37,0.28,0.32,1409,0.16,0.05,0.07,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_sg_50_10_100d,0.41,0.35,0.41,0.53,0.45,0.49,1911,0.4,0.45,0.42,1409,0.14,0.17,0.16,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_sg_50_10_100d,0.44,0.31,0.4,0.49,0.64,0.55,1911,0.37,0.33,0.35,1409,0.12,0.02,0.03,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=2,custom_rock_fasttext_5_10_100d,0.45,0.3,0.4,0.49,0.71,0.58,1911,0.37,0.29,0.32,1409,0.0,0.0,0.0,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=2,custom_rock_fasttext_5_5_300d,0.42,0.32,0.4,0.49,0.49,0.49,1911,0.37,0.48,0.42,1409,0.13,0.03,0.05,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=50,custom_rock_sg_5_10_300d,0.42,0.32,0.4,0.48,0.56,0.52,1911,0.36,0.4,0.38,1409,0.18,0.04,0.06,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=50,custom_rock_fasttext_50_5_300d,0.43,0.32,0.4,0.49,0.53,0.51,1911,0.37,0.46,0.41,1409,0.17,0.03,0.04,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_rock_fasttext_50_5_100d,0.4,0.33,0.4,0.49,0.55,0.52,1911,0.35,0.33,0.34,1409,0.14,0.11,0.12,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_rock_sg_50_10_100d,0.44,0.3,0.4,0.48,0.63,0.55,1911,0.36,0.36,0.36,1409,0.03,0.0,0.0,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=2,custom_rock_cbow_50_5_300d,0.4,0.35,0.4,0.52,0.37,0.43,1911,0.37,0.55,0.45,1409,0.19,0.15,0.17,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_cbow_5_5_100d,0.4,0.35,0.4,0.5,0.48,0.49,1911,0.39,0.37,0.38,1409,0.17,0.21,0.19,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_sg_50_5_300d,0.41,0.34,0.4,0.49,0.58,0.53,1911,0.37,0.26,0.31,1409,0.16,0.18,0.17,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_rock_fasttext_5_10_300d,0.47,0.3,0.4,0.49,0.8,0.61,1911,0.39,0.2,0.27,1409,0.11,0.01,0.02,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_sg_50_5_300d,0.44,0.31,0.4,0.49,0.61,0.55,1911,0.36,0.38,0.37,1409,0.09,0.01,0.01,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_rock_cbow_50_10_300d,0.44,0.32,0.4,0.49,0.64,0.56,1911,0.34,0.32,0.33,1409,0.21,0.03,0.06,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=50,custom_rock_cbow_5_10_100d,0.44,0.31,0.4,0.49,0.6,0.54,1911,0.37,0.4,0.38,1409,0.09,0.01,0.01,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_sg_50_10_300d,0.37,0.35,0.39,0.55,0.37,0.44,1911,0.38,0.4,0.39,1409,0.17,0.32,0.22,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=10,custom_rock_sg_50_5_100d,0.41,0.33,0.39,0.5,0.64,0.56,1911,0.35,0.19,0.25,1409,0.16,0.19,0.17,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=100,custom_rock_fasttext_5_10_300d,0.42,0.31,0.39,0.47,0.66,0.55,1911,0.36,0.24,0.29,1409,0.14,0.08,0.1,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=70,custom_rock_cbow_50_5_100d,0.45,0.29,0.39,0.49,0.74,0.59,1911,0.35,0.24,0.29,1409,0.14,0.01,0.01,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=100,custom_rock_fasttext_50_10_300d,0.42,0.32,0.39,0.48,0.64,0.55,1911,0.36,0.28,0.31,1409,0.12,0.06,0.09,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_rock_sg_50_5_300d,0.42,0.3,0.39,0.48,0.61,0.53,1911,0.35,0.35,0.35,1409,0.1,0.01,0.01,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_rock_sg_50_10_100d,0.4,0.33,0.39,0.49,0.53,0.51,1911,0.36,0.35,0.36,1409,0.14,0.11,0.12,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_rock_cbow_5_10_300d,0.39,0.33,0.39,0.48,0.5,0.49,1911,0.37,0.37,0.37,1409,0.14,0.12,0.13,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_rock_cbow_50_5_100d,0.44,0.3,0.39,0.48,0.74,0.58,1911,0.36,0.2,0.25,1409,0.16,0.04,0.07,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_rock_fasttext_5_10_300d,0.4,0.32,0.39,0.49,0.47,0.48,1911,0.36,0.46,0.4,1409,0.1,0.05,0.07,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_fasttext_50_10_300d,0.41,0.31,0.39,0.49,0.46,0.47,1911,0.36,0.51,0.42,1409,0.1,0.03,0.05,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=20,custom_rock_sg_50_10_300d,0.4,0.33,0.39,0.48,0.43,0.46,1911,0.37,0.49,0.42,1409,0.17,0.09,0.12,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_rock_fasttext_50_10_100d,0.41,0.31,0.39,0.5,0.41,0.45,1911,0.36,0.59,0.45,1409,0.16,0.02,0.03,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_sg_50_10_300d,0.42,0.32,0.39,0.49,0.47,0.48,1911,0.36,0.5,0.42,1409,0.14,0.03,0.05,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_rock_fasttext_5_10_100d,0.42,0.3,0.39,0.47,0.52,0.5,1911,0.36,0.46,0.4,1409,0.08,0.0,0.0,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_rock_sg_5_10_300d,0.42,0.31,0.39,0.48,0.51,0.5,1911,0.37,0.46,0.41,1409,0.12,0.02,0.03,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=50,custom_rock_cbow_50_5_100d,0.42,0.32,0.39,0.47,0.63,0.54,1911,0.38,0.28,0.32,1409,0.12,0.06,0.08,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_sg_5_10_100d,0.45,0.3,0.39,0.49,0.75,0.59,1911,0.36,0.22,0.27,1409,0.18,0.03,0.05,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_rock_fasttext_50_10_300d,0.39,0.34,0.39,0.48,0.37,0.42,1911,0.4,0.53,0.46,1409,0.14,0.14,0.14,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_rock_fasttext_5_5_100d,0.43,0.31,0.39,0.48,0.58,0.52,1911,0.36,0.4,0.38,1409,0.24,0.01,0.01,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_rock_cbow_50_10_300d,0.4,0.33,0.39,0.48,0.58,0.52,1911,0.37,0.24,0.29,1409,0.15,0.18,0.16,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=70,custom_rock_fasttext_5_10_100d,0.4,0.32,0.39,0.49,0.43,0.46,1911,0.36,0.51,0.42,1409,0.14,0.06,0.08,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_rock_cbow_5_10_300d,0.42,0.31,0.39,0.48,0.56,0.51,1911,0.36,0.41,0.39,1409,0.1,0.01,0.02,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=100,custom_rock_sg_5_5_300d,0.44,0.31,0.39,0.49,0.74,0.59,1911,0.38,0.2,0.26,1409,0.14,0.07,0.09,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=100,custom_rock_cbow_5_10_100d,0.45,0.3,0.39,0.49,0.78,0.6,1911,0.36,0.16,0.22,1409,0.13,0.06,0.08,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=100,custom_rock_fasttext_50_5_100d,0.43,0.31,0.38,0.49,0.74,0.59,1911,0.38,0.14,0.2,1409,0.15,0.13,0.14,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_rock_sg_50_5_100d,0.41,0.29,0.38,0.46,0.55,0.5,1911,0.34,0.39,0.36,1409,0.07,0.01,0.01,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_sg_50_5_300d,0.38,0.33,0.38,0.49,0.53,0.51,1911,0.39,0.25,0.3,1409,0.14,0.22,0.17,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=10,custom_rock_fasttext_50_10_300d,0.44,0.28,0.38,0.47,0.73,0.57,1911,0.34,0.23,0.27,1409,0.0,0.0,0.0,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_sg_5_10_300d,0.41,0.32,0.38,0.49,0.41,0.45,1911,0.36,0.55,0.44,1409,0.17,0.04,0.07,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_rock_sg_5_10_100d,0.44,0.29,0.38,0.47,0.72,0.57,1911,0.35,0.23,0.28,1409,0.16,0.01,0.01,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_fasttext_5_5_100d,0.48,0.27,0.38,0.49,0.89,0.63,1911,0.39,0.12,0.18,1409,0.0,0.0,0.0,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_rock_cbow_50_10_300d,0.39,0.33,0.38,0.53,0.32,0.4,1911,0.38,0.6,0.47,1409,0.12,0.11,0.11,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=100,custom_rock_cbow_5_10_100d,0.46,0.28,0.38,0.49,0.82,0.61,1911,0.36,0.15,0.21,1409,0.14,0.02,0.03,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_cbow_50_10_100d,0.41,0.32,0.38,0.52,0.35,0.41,1911,0.37,0.67,0.48,1409,0.17,0.03,0.05,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_sg_5_10_100d,0.44,0.29,0.38,0.47,0.72,0.57,1911,0.34,0.22,0.27,1409,0.12,0.02,0.03,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_rock_cbow_5_5_100d,0.41,0.32,0.38,0.5,0.68,0.58,1911,0.39,0.11,0.18,1409,0.16,0.24,0.19,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_sg_50_5_100d,0.42,0.29,0.38,0.47,0.69,0.56,1911,0.32,0.22,0.26,1409,0.13,0.03,0.04,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=2,custom_rock_sg_50_10_300d,0.47,0.29,0.38,0.49,0.84,0.62,1911,0.36,0.14,0.2,1409,0.16,0.02,0.04,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=4,custom_rock_sg_5_5_100d,0.4,0.3,0.37,0.47,0.42,0.44,1911,0.36,0.54,0.43,1409,0.1,0.01,0.02,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_rock_fasttext_5_5_100d,0.37,0.31,0.37,0.46,0.52,0.49,1911,0.32,0.25,0.29,1409,0.16,0.18,0.17,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_rock_sg_50_10_300d,0.36,0.33,0.37,0.5,0.3,0.38,1911,0.39,0.48,0.43,1409,0.14,0.24,0.18,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_sg_5_5_300d,0.48,0.29,0.37,0.49,0.91,0.64,1911,0.43,0.07,0.12,1409,0.22,0.06,0.1,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_rock_fasttext_50_10_300d,0.47,0.27,0.37,0.48,0.87,0.62,1911,0.35,0.12,0.18,1409,0.15,0.0,0.01,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=2,custom_rock_fasttext_50_10_300d,0.44,0.29,0.37,0.48,0.79,0.6,1911,0.38,0.1,0.15,1409,0.13,0.09,0.11,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=2,custom_rock_sg_50_10_300d,0.36,0.33,0.37,0.49,0.42,0.45,1911,0.35,0.34,0.34,1409,0.16,0.25,0.2,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_fasttext_50_5_300d,0.45,0.27,0.37,0.48,0.83,0.61,1911,0.33,0.13,0.19,1409,0.07,0.0,0.0,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=2,custom_rock_fasttext_50_5_300d,0.43,0.29,0.37,0.48,0.74,0.58,1911,0.37,0.15,0.21,1409,0.12,0.08,0.09,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_fasttext_5_10_300d,0.41,0.3,0.37,0.48,0.67,0.56,1911,0.35,0.17,0.23,1409,0.13,0.11,0.12,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=5,custom_rock_fasttext_5_10_100d,0.42,0.3,0.37,0.49,0.74,0.59,1911,0.33,0.11,0.17,1409,0.15,0.13,0.14,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=100,custom_rock_cbow_50_10_100d,0.37,0.33,0.37,0.49,0.33,0.39,1911,0.37,0.48,0.42,1409,0.16,0.22,0.19,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_rock_fasttext_50_5_300d,0.42,0.29,0.37,0.48,0.73,0.58,1911,0.34,0.15,0.21,1409,0.12,0.07,0.09,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_fasttext_5_5_100d,0.43,0.31,0.37,0.49,0.74,0.59,1911,0.37,0.1,0.15,1409,0.18,0.21,0.19,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_sg_50_5_100d,0.46,0.28,0.37,0.49,0.84,0.62,1911,0.34,0.13,0.18,1409,0.14,0.02,0.04,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_rock_sg_5_10_300d,0.4,0.29,0.37,0.49,0.36,0.41,1911,0.35,0.62,0.45,1409,0.13,0.01,0.02,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_rock_sg_50_5_100d,0.36,0.32,0.37,0.49,0.49,0.49,1911,0.4,0.21,0.28,1409,0.14,0.29,0.19,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_fasttext_5_10_100d,0.47,0.27,0.37,0.49,0.88,0.63,1911,0.37,0.11,0.17,1409,0.14,0.01,0.01,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_sg_5_10_100d,0.41,0.3,0.37,0.52,0.31,0.39,1911,0.37,0.71,0.48,1409,0.22,0.02,0.03,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_rock_cbow_50_10_100d,0.46,0.28,0.37,0.49,0.86,0.63,1911,0.39,0.08,0.14,1409,0.13,0.06,0.08,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_rock_fasttext_50_5_100d,0.4,0.3,0.37,0.49,0.32,0.39,1911,0.36,0.67,0.47,1409,0.12,0.02,0.03,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_rock_fasttext_50_5_100d,0.39,0.3,0.37,0.47,0.62,0.54,1911,0.33,0.18,0.23,1409,0.13,0.13,0.13,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_rock_sg_50_10_300d,0.39,0.33,0.37,0.55,0.26,0.35,1911,0.39,0.65,0.49,1409,0.15,0.17,0.16,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=100,custom_rock_sg_5_10_100d,0.38,0.31,0.37,0.46,0.42,0.44,1911,0.33,0.46,0.39,1409,0.18,0.07,0.11,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=10,custom_rock_sg_50_10_300d,0.39,0.32,0.37,0.5,0.31,0.38,1911,0.37,0.63,0.47,1409,0.17,0.1,0.12,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=10,custom_rock_sg_50_10_100d,0.4,0.3,0.37,0.5,0.34,0.41,1911,0.36,0.63,0.46,1409,0.11,0.03,0.04,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=50,custom_rock_sg_50_10_300d,0.39,0.31,0.37,0.48,0.35,0.4,1911,0.35,0.6,0.44,1409,0.19,0.05,0.08,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_fasttext_5_5_300d,0.47,0.27,0.37,0.49,0.89,0.63,1911,0.4,0.11,0.17,1409,0.1,0.01,0.02,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=50,custom_rock_cbow_50_5_300d,0.47,0.28,0.37,0.49,0.89,0.64,1911,0.4,0.07,0.12,1409,0.17,0.06,0.08,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_fasttext_5_5_300d,0.37,0.31,0.37,0.47,0.51,0.49,1911,0.37,0.22,0.28,1409,0.14,0.23,0.17,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=3,custom_rock_fasttext_5_5_100d,0.37,0.31,0.37,0.46,0.48,0.47,1911,0.35,0.32,0.34,1409,0.12,0.13,0.13,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_rock_cbow_50_10_100d,0.45,0.26,0.36,0.48,0.83,0.6,1911,0.3,0.12,0.17,1409,0.0,0.0,0.0,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_rock_cbow_5_10_100d,0.44,0.28,0.36,0.48,0.81,0.6,1911,0.35,0.1,0.15,1409,0.15,0.06,0.09,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=3,custom_rock_sg_50_5_300d,0.47,0.27,0.36,0.49,0.9,0.63,1911,0.35,0.08,0.12,1409,0.15,0.03,0.05,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_rock_cbow_50_10_100d,0.38,0.31,0.36,0.5,0.6,0.54,1911,0.35,0.13,0.19,1409,0.15,0.28,0.2,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_rock_fasttext_5_10_100d,0.48,0.26,0.36,0.49,0.92,0.64,1911,0.39,0.07,0.11,1409,0.13,0.01,0.02,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_fasttext_50_5_100d,0.37,0.3,0.36,0.45,0.54,0.49,1911,0.3,0.21,0.25,1409,0.17,0.18,0.18,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_cbow_50_5_300d,0.36,0.31,0.36,0.48,0.35,0.41,1911,0.35,0.47,0.4,1409,0.13,0.13,0.13,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_rock_sg_5_10_100d,0.4,0.3,0.36,0.5,0.68,0.58,1911,0.36,0.1,0.16,1409,0.14,0.21,0.16,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=10,custom_rock_cbow_50_5_100d,0.48,0.27,0.36,0.49,0.92,0.64,1911,0.45,0.07,0.13,1409,0.15,0.02,0.04,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_rock_cbow_5_5_100d,0.46,0.27,0.36,0.48,0.86,0.62,1911,0.37,0.09,0.14,1409,0.09,0.03,0.04,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_cbow_50_5_100d,0.36,0.31,0.36,0.45,0.38,0.41,1911,0.35,0.42,0.38,1409,0.13,0.13,0.13,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_rock_sg_50_10_300d,0.38,0.32,0.36,0.49,0.28,0.36,1911,0.36,0.62,0.46,1409,0.16,0.11,0.13,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_rock_cbow_5_10_300d,0.43,0.28,0.36,0.48,0.78,0.59,1911,0.31,0.08,0.13,1409,0.13,0.09,0.11,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_sg_5_10_300d,0.49,0.26,0.36,0.49,0.94,0.64,1911,0.43,0.08,0.14,1409,0.12,0.0,0.0,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=4,custom_rock_cbow_5_10_300d,0.35,0.31,0.36,0.47,0.44,0.45,1911,0.36,0.32,0.34,1409,0.11,0.16,0.13,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_rock_sg_5_5_100d,0.48,0.25,0.36,0.49,0.93,0.64,1911,0.37,0.07,0.12,1409,0.0,0.0,0.0,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=4,custom_rock_fasttext_50_5_100d,0.42,0.29,0.36,0.49,0.75,0.59,1911,0.34,0.09,0.14,1409,0.14,0.14,0.14,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=10,custom_rock_cbow_50_10_100d,0.4,0.3,0.36,0.5,0.3,0.38,1911,0.37,0.71,0.48,1409,0.18,0.02,0.03,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=2,custom_rock_cbow_5_5_100d,0.38,0.29,0.36,0.47,0.34,0.39,1911,0.35,0.6,0.44,1409,0.12,0.02,0.04,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=4,custom_rock_fasttext_50_10_300d,0.46,0.27,0.36,0.48,0.85,0.61,1911,0.34,0.11,0.17,1409,0.09,0.01,0.02,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=5,custom_rock_fasttext_50_5_100d,0.41,0.29,0.36,0.47,0.72,0.57,1911,0.33,0.11,0.16,1409,0.13,0.12,0.13,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_rock_sg_50_5_300d,0.43,0.29,0.36,0.49,0.79,0.6,1911,0.36,0.09,0.14,1409,0.13,0.11,0.12,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_rock_sg_5_10_300d,0.45,0.27,0.36,0.49,0.85,0.62,1911,0.32,0.1,0.15,1409,0.07,0.02,0.03,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_fasttext_50_10_300d,0.36,0.31,0.36,0.52,0.28,0.37,1911,0.37,0.57,0.45,1409,0.12,0.14,0.13,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_rock_cbow_50_10_100d,0.35,0.3,0.35,0.48,0.51,0.49,1911,0.33,0.17,0.23,1409,0.14,0.27,0.19,587,3907
