IncidenceVerbs,IncidenceAdj,IncidenceNouns,IncidenceCon,IncidencePron,ContentIncidence,ContentDiversity,label
0.039,0.017,0.06,0.054,0.02,0.116,0.47346938775510206,Soft Rock
0.033,0.022,0.115,0.086,0.015,0.17,0.5120481927710844,Soft Rock
0.024,0.016,0.068,0.084,0.011,0.108,0.4302788844621514,Soft Rock
0.033,0.008,0.044,0.047,0.022,0.085,0.4381443298969072,Soft Rock
0.02,0.01,0.043,0.015,0.012,0.073,0.5488721804511278,Soft Rock
0.015,0.016,0.038,0.031,0.009,0.069,0.5897435897435898,Soft Rock
0.032,0.012,0.047,0.039,0.013,0.091,0.5352941176470588,Soft Rock
0.073,0.022,0.119,0.117,0.034,0.214,0.4662309368191721,Soft Rock
0.047,0.015,0.043,0.064,0.027,0.105,0.40540540540540543,Soft Rock
0.031,0.009,0.036,0.027,0.017,0.076,0.4342857142857143,Soft Rock
0.024,0.004,0.037,0.029,0.01,0.065,0.4961832061068702,Soft Rock
0.018,0.011,0.033,0.018,0.005,0.062,0.5254237288135594,Soft Rock
0.03,0.028,0.08,0.051,0.01,0.138,0.6330275229357798,Soft Rock
0.032,0.018,0.072,0.031,0.018,0.122,0.5520361990950227,Soft Rock
0.036,0.011,0.031,0.025,0.013,0.078,0.5735294117647058,Soft Rock
0.04,0.021,0.051,0.043,0.005,0.112,0.509090909090909,Soft Rock
0.065,0.025,0.11,0.063,0.02,0.2,0.5899705014749262,Soft Rock
0.07,0.034,0.085,0.047,0.024,0.189,0.5675675675675675,Soft Rock
0.034,0.005,0.06,0.08,0.007,0.099,0.4230769230769231,Soft Rock
0.024,0.012,0.022,0.019,0.006,0.058,0.5225225225225225,Soft Rock
0.042,0.016,0.051,0.043,0.011,0.109,0.545,Soft Rock
0.048,0.016,0.079,0.07,0.018,0.143,0.5983263598326359,Soft Rock
0.029,0.006,0.033,0.011,0.014,0.068,0.5112781954887218,Soft Rock
0.045,0.028,0.048,0.037,0.012,0.121,0.4782608695652174,Soft Rock
0.021,0.011,0.046,0.029,0.009,0.078,0.5165562913907285,Soft Rock
0.067,0.036,0.059,0.054,0.016,0.162,0.5765124555160143,Soft Rock
0.049,0.011,0.056,0.024,0.021,0.116,0.5576923076923077,Soft Rock
0.018,0.006,0.034,0.037,0.015,0.058,0.43609022556390975,Soft Rock
0.054,0.026,0.078,0.079,0.019,0.158,0.4450704225352113,Soft Rock
0.02,0.007,0.026,0.023,0.014,0.053,0.4491525423728814,Soft Rock
0.039,0.017,0.068,0.062,0.012,0.124,0.5102880658436214,Soft Rock
0.025,0.016,0.044,0.041,0.007,0.085,0.480225988700565,Soft Rock
0.026,0.007,0.055,0.04,0.012,0.088,0.4631578947368421,Soft Rock
0.024,0.005,0.025,0.015,0.01,0.054,0.5192307692307693,Soft Rock
0.024,0.005,0.026,0.012,0.007,0.055,0.5092592592592593,Soft Rock
0.022,0.016,0.023,0.018,0.006,0.061,0.5213675213675214,Soft Rock
0.035,0.008,0.09,0.045,0.01,0.133,0.4925925925925926,Soft Rock
0.024,0.006,0.024,0.017,0.014,0.054,0.4186046511627907,Soft Rock
0.034,0.024,0.073,0.04,0.014,0.131,0.5670995670995671,Soft Rock
0.016,0.005,0.039,0.026,0.005,0.06,0.5263157894736842,Soft Rock
0.021,0.015,0.037,0.041,0.016,0.073,0.4269005847953216,Soft Rock
0.047,0.02,0.063,0.044,0.023,0.13,0.4744525547445255,Soft Rock
0.022,0.006,0.03,0.021,0.014,0.058,0.47540983606557374,Soft Rock
0.04,0.015,0.042,0.022,0.009,0.097,0.5480225988700564,Soft Rock
0.038,0.02,0.044,0.033,0.008,0.102,0.5284974093264249,Soft Rock
0.045,0.026,0.08,0.07,0.011,0.151,0.5206896551724138,Soft Rock
0.035,0.012,0.059,0.032,0.006,0.106,0.5792349726775956,Soft Rock
0.041,0.013,0.059,0.041,0.023,0.113,0.46122448979591835,Soft Rock
0.097,0.021,0.115,0.053,0.062,0.233,0.6246648793565683,Soft Rock
0.041,0.005,0.059,0.034,0.019,0.105,0.49065420560747663,Soft Rock
0.055,0.024,0.072,0.042,0.028,0.151,0.5189003436426117,Soft Rock
0.04,0.017,0.038,0.016,0.025,0.095,0.46568627450980393,Soft Rock
0.031,0.01,0.068,0.054,0.018,0.109,0.4954545454545455,Soft Rock
0.017,0.008,0.033,0.033,0.008,0.058,0.4566929133858268,Soft Rock
0.036,0.009,0.055,0.052,0.02,0.1,0.4424778761061947,Soft Rock
0.045,0.023,0.073,0.047,0.02,0.141,0.5802469135802469,Soft Rock
0.069,0.038,0.123,0.093,0.035,0.23,0.5665024630541872,Soft Rock
0.018,0.01,0.021,0.015,0.007,0.049,0.5104166666666666,Soft Rock
0.077,0.035,0.045,0.033,0.017,0.157,0.5413793103448276,Soft Rock
0.01,0.016,0.026,0.018,0.005,0.052,0.5416666666666666,Soft Rock
0.048,0.023,0.055,0.025,0.037,0.126,0.5,Soft Rock
0.042,0.02,0.058,0.045,0.011,0.12,0.5063291139240507,Soft Rock
0.05,0.012,0.055,0.057,0.022,0.117,0.43014705882352944,Soft Rock
0.023,0.01,0.051,0.042,0.019,0.084,0.43523316062176165,Soft Rock
0.036,0.016,0.043,0.03,0.013,0.095,0.5491329479768786,Soft Rock
0.035,0.041,0.069,0.06,0.012,0.145,0.5370370370370371,Soft Rock
0.024,0.005,0.02,0.014,0.017,0.049,0.44545454545454544,Soft Rock
0.038,0.021,0.051,0.052,0.01,0.11,0.4845814977973568,Soft Rock
0.035,0.015,0.048,0.043,0.015,0.098,0.48514851485148514,Soft Rock
0.043,0.015,0.043,0.025,0.021,0.101,0.5233160621761658,Soft Rock
0.071,0.017,0.078,0.098,0.037,0.166,0.4797687861271676,Soft Rock
0.04,0.032,0.075,0.077,0.008,0.147,0.4883720930232558,Soft Rock
0.012,0.004,0.144,0.018,0.004,0.16,0.9411764705882353,Soft Rock
0.031,0.021,0.067,0.067,0.014,0.119,0.4798387096774194,Soft Rock
0.013,0.009,0.029,0.037,0.003,0.051,0.4594594594594595,Soft Rock
0.085,0.028,0.109,0.079,0.04,0.222,0.5648854961832062,Soft Rock
0.052,0.02,0.082,0.052,0.016,0.154,0.5441696113074205,Soft Rock
0.045,0.024,0.085,0.066,0.024,0.154,0.5167785234899329,Soft Rock
0.024,0.017,0.02,0.023,0.007,0.061,0.43884892086330934,Soft Rock
0.059,0.034,0.101,0.073,0.031,0.194,0.5271739130434783,Soft Rock
0.053,0.021,0.089,0.062,0.019,0.163,0.5659722222222222,Soft Rock
0.028,0.011,0.046,0.045,0.018,0.085,0.43147208121827413,Soft Rock
0.025,0.011,0.043,0.032,0.007,0.079,0.5302013422818792,Soft Rock
0.043,0.032,0.034,0.009,0.013,0.109,0.5797872340425532,Soft Rock
0.051,0.028,0.074,0.061,0.014,0.153,0.5862068965517241,Soft Rock
0.032,0.016,0.048,0.04,0.005,0.096,0.5245901639344263,Soft Rock
0.047,0.018,0.059,0.04,0.022,0.124,0.4806201550387597,Soft Rock
0.065,0.008,0.068,0.064,0.028,0.141,0.5035714285714286,Soft Rock
0.069,0.031,0.073,0.048,0.032,0.173,0.4765840220385675,Soft Rock
0.063,0.015,0.045,0.029,0.038,0.123,0.467680608365019,Soft Rock
0.046,0.023,0.055,0.063,0.024,0.124,0.46096654275092935,Soft Rock
0.026,0.023,0.047,0.034,0.008,0.096,0.4752475247524752,Soft Rock
0.045,0.029,0.072,0.044,0.027,0.146,0.4755700325732899,Soft Rock
0.027,0.02,0.053,0.047,0.009,0.1,0.43478260869565216,Soft Rock
0.039,0.015,0.05,0.033,0.023,0.104,0.49056603773584906,Soft Rock
0.032,0.008,0.04,0.039,0.014,0.08,0.43478260869565216,Soft Rock
0.05,0.021,0.049,0.058,0.032,0.12,0.42105263157894735,Soft Rock
0.045,0.02,0.05,0.061,0.022,0.115,0.45454545454545453,Soft Rock
0.033,0.017,0.055,0.046,0.023,0.105,0.42857142857142855,Soft Rock
0.05,0.017,0.048,0.042,0.023,0.115,0.49783549783549785,Soft Rock
0.033,0.006,0.042,0.037,0.02,0.081,0.44021739130434784,Soft Rock
0.029,0.005,0.032,0.014,0.02,0.066,0.4925373134328358,Soft Rock
0.058,0.012,0.069,0.044,0.03,0.139,0.4633333333333333,Soft Rock
0.047,0.015,0.059,0.051,0.013,0.121,0.49794238683127573,Soft Rock
0.04,0.021,0.047,0.044,0.017,0.108,0.5454545454545454,Soft Rock
0.059,0.033,0.09,0.049,0.023,0.182,0.6431095406360424,Soft Rock
0.044,0.02,0.06,0.034,0.032,0.124,0.45588235294117646,Soft Rock
0.031,0.022,0.087,0.051,0.01,0.14,0.5761316872427984,Soft Rock
0.061,0.027,0.05,0.048,0.015,0.138,0.5369649805447471,Soft Rock
0.071,0.019,0.022,0.016,0.023,0.112,0.5572139303482587,Soft Rock
0.018,0.017,0.031,0.017,0.001,0.066,0.5454545454545454,Soft Rock
0.062,0.03,0.093,0.06,0.014,0.185,0.45905707196029777,Soft Rock
0.053,0.039,0.062,0.041,0.009,0.154,0.6234817813765182,Soft Rock
0.053,0.03,0.083,0.035,0.02,0.166,0.6102941176470589,Soft Rock
0.031,0.01,0.044,0.065,0.011,0.085,0.40865384615384615,Soft Rock
0.033,0.019,0.032,0.027,0.014,0.084,0.49122807017543857,Soft Rock
0.027,0.01,0.018,0.018,0.011,0.055,0.47413793103448276,Soft Rock
0.036,0.018,0.052,0.038,0.022,0.106,0.49074074074074076,Soft Rock
0.037,0.018,0.037,0.046,0.018,0.092,0.46,Soft Rock
0.042,0.023,0.049,0.024,0.035,0.114,0.5205479452054794,Soft Rock
